WORD_ADDRESS, STORED_DATA, round
0x0281d,0x57,0x55,1
0x02829,0x5d,0x55,1
0x02833,0x51,0x55,1
0x02880,0x75,0x55,1
0x028ae,0x57,0x55,1
0x028b3,0x45,0x55,1
0x02911,0x75,0x55,1
0x0297d,0x15,0x55,1
0x029a5,0xd5,0x55,1
0x029da,0x5d,0x55,1
0x02a0f,0x45,0x55,1
0x02a3b,0x15,0x55,1
0x02a50,0xd5,0x55,1
0x02a8d,0xd5,0x55,1
0x02ab3,0x51,0x55,1
0x02ace,0x57,0x55,1
0x02b01,0x57,0x55,1
0x02b35,0x45,0x55,1
0x02b53,0x54,0x55,1
0x02b59,0x45,0x55,1
0x02b69,0x57,0x55,1
0x02c03,0x51,0x55,1
0x02c0f,0x57,0x55,1
0x02c3b,0x5d,0x55,1
0x02cc3,0x51,0x55,1
0x02cc6,0x57,0x55,1
0x02d24,0x5d,0x55,1
0x02d32,0x51,0x55,1
0x02d5e,0x75,0x55,1
0x02db0,0x54,0x55,1
0x02dba,0x51,0x55,1
0x02ead,0xd5,0x55,1
0x02f03,0x5d,0x55,1
0x02f15,0x75,0x55,1
0x02f94,0x54,0x55,1
0x02fb6,0x57,0x55,1
0x02fd0,0x57,0x55,1
0x02feb,0x51,0x55,1
0x02fef,0x5d,0x55,1
0x03005,0x57,0x55,1
0x030d1,0x57,0x55,1
0x030ea,0x5d,0x55,1
0x0315d,0x54,0x55,1
0x031d0,0x51,0x55,1
0x03200,0x75,0x55,1
0x0325a,0x57,0x55,1
0x032c1,0x45,0x55,1
0x03302,0x15,0x55,1
0x0332c,0x45,0x55,1
0x033d5,0x45,0x55,1
0x03504,0x54,0x55,1
0x0352c,0xd5,0x55,1
0x03574,0x45,0x55,1
0x0359a,0x54,0x55,1
0x035ce,0x5d,0x55,1
0x03700,0x54,0x55,1
0x03835,0x5d,0x55,1
0x0383d,0x5d,0x55,1
0x03871,0x51,0x55,1
0x03874,0x15,0x55,1
0x038b7,0x57,0x55,1
0x03968,0x57,0x55,1
0x039aa,0xd5,0x55,1
0x03a1c,0xd5,0x55,1
0x03a24,0x54,0x55,1
0x03a2c,0xd5,0x55,1
0x03a4e,0x57,0x55,1
0x03a59,0x54,0x55,1
0x03ae4,0x15,0x55,1
0x03ae8,0x45,0x55,1
0x03b02,0x5d,0x55,1
0x03b18,0x45,0x55,1
0x03b9d,0x75,0x55,1
0x03bc9,0xd5,0x55,1
0x03cf7,0x45,0x55,1
0x03d74,0x51,0x55,1
0x03d8d,0x54,0x55,1
0x03e04,0x75,0x55,1
0x03f3a,0xd5,0x55,1
0x03f47,0x57,0x55,1
0x03fcb,0xd5,0x55,1
0x04031,0x51,0x55,1
0x040b6,0x51,0x55,1
0x040c8,0x54,0x55,1
0x040cc,0x51,0x55,1
0x0410f,0x5d,0x55,1
0x04125,0x75,0x55,1
0x04155,0x5d,0x55,1
0x041a5,0x75,0x55,1
0x0428a,0x54,0x55,1
0x042c3,0x51,0x55,1
0x042d2,0x45,0x55,1
0x0434c,0x45,0x55,1
0x043b0,0x57,0x55,1
0x043da,0x51,0x55,1
0x0442e,0xd5,0x55,1
0x04449,0x15,0x55,1
0x04451,0xd5,0x55,1
0x04457,0x54,0x55,1
0x044b7,0x45,0x55,1
0x04549,0x57,0x55,1
0x0457d,0x54,0x55,1
0x0457f,0x54,0x55,1
0x04600,0x45,0x55,1
0x04680,0x57,0x55,1
0x0469b,0x51,0x55,1
0x046f7,0x54,0x55,1
0x04706,0x45,0x55,1
0x0476b,0x54,0x55,1
0x0479a,0xd5,0x55,1
0x047c6,0x75,0x55,1
0x047c7,0x51,0x55,1
0x047f1,0x45,0x55,1
0x04852,0x75,0x55,1
0x048aa,0xd5,0x55,1
0x04994,0x51,0x55,1
0x049d2,0x54,0x55,1
0x04a3a,0x57,0x55,1
0x04a4a,0xd5,0x55,1
0x04a75,0x75,0x55,1
0x04a9f,0xd5,0x55,1
0x04aac,0x75,0x55,1
0x04aad,0xd5,0x55,1
0x04cbc,0x45,0x55,1
0x04d4c,0x54,0x55,1
0x04d64,0x45,0x55,1
0x04e01,0xd5,0x55,1
0x04e35,0xd5,0x55,1
0x04e4a,0x51,0x55,1
0x04e56,0xd5,0x55,1
0x04eb9,0x54,0x55,1
0x04eea,0x15,0x55,1
0x04f41,0x5d,0x55,1
0x04f7d,0x51,0x55,1
0x04f9b,0x15,0x55,1
0x04fd8,0x15,0x55,1
0x0500c,0xd5,0x55,1
0x0505f,0x15,0x55,1
0x05066,0x54,0x55,1
0x05077,0x51,0x55,1
0x0507c,0x45,0x55,1
0x05182,0x45,0x55,1
0x051f3,0xd5,0x55,1
0x052fc,0x51,0x55,1
0x05339,0x5d,0x55,1
0x053c0,0x15,0x55,1
0x053fc,0x54,0x55,1
0x053fe,0x54,0x55,1
0x05419,0x54,0x55,1
0x05437,0xd5,0x55,1
0x0543a,0x57,0x55,1
0x05449,0x75,0x55,1
0x054af,0x75,0x55,1
0x05510,0x15,0x55,1
0x05524,0x57,0x55,1
0x05532,0x75,0x55,1
0x0557c,0x54,0x55,1
0x05676,0x54,0x55,1
0x05745,0x75,0x55,1
0x0575a,0x54,0x55,1
0x05786,0x75,0x55,1
0x05792,0x75,0x55,1
0x057b6,0xd5,0x55,1
0x058a2,0x5d,0x55,1
0x058f3,0x54,0x55,1
0x0594a,0x45,0x55,1
0x0594f,0x15,0x55,1
0x0595f,0xd5,0x55,1
0x059eb,0x57,0x55,1
0x05a12,0x51,0x55,1
0x05a23,0x54,0x55,1
0x05ab7,0xd5,0x55,1
0x05b0a,0x54,0x55,1
0x05b11,0x75,0x55,1
0x05b2b,0x51,0x55,1
0x05b4e,0x75,0x55,1
0x05c0d,0x5d,0x55,1
0x05c3b,0x75,0x55,1
0x05c6e,0x75,0x55,1
0x05ca6,0x5d,0x55,1
0x05d0e,0x15,0x55,1
0x05d3c,0x57,0x55,1
0x05d55,0x5d,0x55,1
0x05d63,0x5d,0x55,1
0x05dd6,0x45,0x55,1
0x05dd9,0x15,0x55,1
0x05e08,0x15,0x55,1
0x05e4a,0x45,0x55,1
0x05ec5,0xd5,0x55,1
0x05ed4,0x57,0x55,1
0x05fc1,0x15,0x55,1
0x05fd4,0x5d,0x55,1
0x06081,0x15,0x55,1
0x060b7,0x75,0x55,1
0x061e2,0x54,0x55,1
0x061f6,0x54,0x55,1
0x06261,0x51,0x55,1
0x06266,0x15,0x55,1
0x063cc,0x54,0x55,1
0x06411,0x51,0x55,1
0x064eb,0x51,0x55,1
0x06516,0x51,0x55,1
0x06632,0x57,0x55,1
0x0666c,0x51,0x55,1
0x06766,0x75,0x55,1
0x06789,0x45,0x55,1
0x0678a,0xd5,0x55,1
0x06790,0x54,0x55,1
0x067fc,0x51,0x55,1
0x06816,0x54,0x55,1
0x06826,0x54,0x55,1
0x06867,0xd5,0x55,1
0x06879,0x57,0x55,1
0x0688f,0x75,0x55,1
0x068c8,0x5d,0x55,1
0x068e0,0x51,0x55,1
0x06915,0x75,0x55,1
0x06960,0x15,0x55,1
0x069c4,0x45,0x55,1
0x06a02,0x54,0x55,1
0x06a07,0x54,0x55,1
0x06a10,0x57,0x55,1
0x06a25,0x51,0x55,1
0x06a2e,0x54,0x55,1
0x06a6d,0xd5,0x55,1
0x06ab2,0x75,0x55,1
0x06b1d,0x57,0x55,1
0x06b59,0x75,0x55,1
0x06c4a,0x51,0x55,1
0x06c74,0x57,0x55,1
0x06cac,0x51,0x55,1
0x06cce,0x54,0x55,1
0x06d47,0xd5,0x55,1
0x06d58,0x75,0x55,1
0x06d74,0x5d,0x55,1
0x06d75,0x54,0x55,1
0x06d99,0x57,0x55,1
0x06dea,0x51,0x55,1
0x06ed1,0x57,0x55,1
0x06f13,0x15,0x55,1
0x06f49,0x15,0x55,1
0x06f52,0x57,0x55,1
0x06f7e,0x45,0x55,1
0x06fc0,0x57,0x55,1
0x06ff0,0xd5,0x55,1
0x07048,0x54,0x55,1
0x0706c,0x15,0x55,1
0x07110,0x57,0x55,1
0x07133,0x75,0x55,1
0x07190,0x5d,0x55,1
0x071b5,0x75,0x55,1
0x0722f,0x57,0x55,1
0x07252,0x54,0x55,1
0x07257,0x75,0x55,1
0x0735b,0xd5,0x55,1
0x0737a,0x75,0x55,1
0x07380,0x15,0x55,1
0x074d3,0x45,0x55,1
0x074d4,0x57,0x55,1
0x07550,0x57,0x55,1
0x075a9,0x45,0x55,1
0x075fc,0xd5,0x55,1
0x07622,0x45,0x55,1
0x07682,0x57,0x55,1
0x076d5,0x45,0x55,1
0x077bc,0x54,0x55,1
0x0782d,0x45,0x55,1
0x0786f,0x45,0x55,1
0x07892,0x45,0x55,1
0x0789d,0x57,0x55,1
0x07946,0x57,0x55,1
0x07965,0x5d,0x55,1
0x07972,0x54,0x55,1
0x07a5c,0x54,0x55,1
0x07a6a,0x54,0x55,1
0x07ac4,0x54,0x55,1
0x07ace,0x54,0x55,1
0x07ad2,0x51,0x55,1
0x07b0c,0x51,0x55,1
0x07b54,0x57,0x55,1
0x07b7c,0x51,0x55,1
0x07c98,0x54,0x55,1
0x07cb1,0x15,0x55,1
0x07cc5,0x57,0x55,1
0x07cfb,0xd5,0x55,1
0x07d8a,0x15,0x55,1
0x07d9e,0x45,0x55,1
0x07de2,0x5d,0x55,1
0x07e59,0x45,0x55,1
0x07e73,0x15,0x55,1
0x07ebb,0x57,0x55,1
0x07ed4,0x5d,0x55,1
0x07ee4,0x5d,0x55,1
0x07f09,0xd5,0x55,1
0x07f41,0x15,0x55,1
0x07f6a,0xd5,0x55,1
0x07f87,0x57,0x55,1
0x07fb4,0x75,0x55,1
0x08005,0x15,0x55,1
0x0800e,0xd5,0x55,1
0x0818b,0x51,0x55,1
0x08196,0x15,0x55,1
0x081e5,0x54,0x55,1
0x081fa,0x54,0x55,1
0x08285,0x75,0x55,1
0x082a1,0x15,0x55,1
0x082a3,0x5d,0x55,1
0x082d5,0x15,0x55,1
0x08335,0x51,0x55,1
0x0839c,0x51,0x55,1
0x083a2,0x5d,0x55,1
0x08472,0x57,0x55,1
0x08478,0xd5,0x55,1
0x08493,0x54,0x55,1
0x084c3,0x75,0x55,1
0x08555,0x15,0x55,1
0x085c1,0xd5,0x55,1
0x0863b,0x5d,0x55,1
0x08674,0x15,0x55,1
0x086ac,0x54,0x55,1
0x08733,0x15,0x55,1
0x087b4,0x57,0x55,1
0x087d7,0x57,0x55,1
0x08802,0x54,0x55,1
0x08822,0x75,0x55,1
0x08838,0x75,0x55,1
0x08855,0x45,0x55,1
0x08858,0xd5,0x55,1
0x0886c,0x75,0x55,1
0x08876,0x57,0x55,1
0x0888f,0x45,0x55,1
0x08938,0x45,0x55,1
0x08a3e,0x54,0x55,1
0x08a6b,0x54,0x55,1
0x08a7c,0x57,0x55,1
0x08a82,0xd5,0x55,1
0x08bce,0xd5,0x55,1
0x08bdc,0xd5,0x55,1
0x08c04,0x15,0x55,1
0x08ca3,0x75,0x55,1
0x08cd8,0x54,0x55,1
0x08d0f,0x54,0x55,1
0x08d2f,0x15,0x55,1
0x08d6d,0x51,0x55,1
0x08e15,0x5d,0x55,1
0x08e55,0x57,0x55,1
0x08e6e,0xd5,0x55,1
0x08e9f,0x54,0x55,1
0x08ead,0x5d,0x55,1
0x08ebd,0x51,0x55,1
0x08f2d,0x5d,0x55,1
0x08f50,0x15,0x55,1
0x08f8c,0x75,0x55,1
0x08ffb,0x75,0x55,1
0x08ffc,0x75,0x55,1
0x09014,0x5d,0x55,1
0x09053,0x51,0x55,1
0x0909b,0x57,0x55,1
0x09120,0x54,0x55,1
0x0915e,0xd5,0x55,1
0x0917e,0x51,0x55,1
0x091b2,0x75,0x55,1
0x091e5,0x51,0x55,1
0x091fa,0x57,0x55,1
0x09256,0xd5,0x55,1
0x09268,0x54,0x55,1
0x09281,0x15,0x55,1
0x0929a,0x75,0x55,1
0x092a1,0x45,0x55,1
0x092a8,0x54,0x55,1
0x092ae,0x75,0x55,1
0x09302,0x45,0x55,1
0x093a1,0x75,0x55,1
0x0945d,0x54,0x55,1
0x09479,0xd5,0x55,1
0x09481,0x57,0x55,1
0x095ad,0x51,0x55,1
0x095b3,0x45,0x55,1
0x095d2,0x51,0x55,1
0x095f8,0x51,0x55,1
0x09620,0x54,0x55,1
0x0966c,0x75,0x55,1
0x096d4,0x54,0x55,1
0x09712,0x75,0x55,1
0x097af,0x15,0x55,1
0x097b2,0x45,0x55,1
0x097c2,0x5d,0x55,1
0x097ea,0x5d,0x55,1
0x0981e,0x75,0x55,1
0x09886,0x75,0x55,1
0x0990b,0x15,0x55,1
0x099b6,0x5d,0x55,1
0x09a41,0x5d,0x55,1
0x09a80,0x54,0x55,1
0x09abd,0x51,0x55,1
0x09af7,0x51,0x55,1
0x09b5d,0x15,0x55,1
0x09b8a,0x5d,0x55,1
0x09c0b,0x57,0x55,1
0x09c20,0xd5,0x55,1
0x09c84,0x57,0x55,1
0x09c91,0x57,0x55,1
0x09d2c,0x45,0x55,1
0x09d40,0x5d,0x55,1
0x09d45,0x54,0x55,1
0x09d4a,0x5d,0x55,1
0x09d7a,0x5d,0x55,1
0x09d8a,0x5d,0x55,1
0x09d93,0x75,0x55,1
0x09e36,0x15,0x55,1
0x09e78,0x45,0x55,1
0x09e9e,0x5d,0x55,1
0x09f7e,0x45,0x55,1
0x0a076,0xd5,0x55,1
0x0a08b,0x15,0x55,1
0x0a095,0x45,0x55,1
0x0a104,0x75,0x55,1
0x0a198,0x15,0x55,1
0x0a24f,0x5d,0x55,1
0x0a26b,0x57,0x55,1
0x0a2b9,0x15,0x55,1
0x0a364,0x15,0x55,1
0x0a3ab,0x45,0x55,1
0x0a3da,0x75,0x55,1
0x0a458,0x75,0x55,1
0x0a4ba,0x51,0x55,1
0x0a4de,0x51,0x55,1
0x0a4f6,0x15,0x55,1
0x0a519,0x57,0x55,1
0x0a567,0x51,0x55,1
0x0a581,0x45,0x55,1
0x0a59c,0x54,0x55,1
0x0a5c8,0x51,0x55,1
0x0a5ea,0x75,0x55,1
0x0a641,0x57,0x55,1
0x0a6f6,0x54,0x55,1
0x0a7b2,0x57,0x55,1
0x0a804,0x1d,0x55,1
0x0a829,0x57,0x55,1
0x0a89a,0x54,0x55,1
0x0a8c9,0xd5,0x55,1
0x0a982,0x45,0x55,1
0x0aa53,0x51,0x55,1
0x0aaa3,0x75,0x55,1
0x0ab54,0x45,0x55,1
0x0ab91,0x5d,0x55,1
0x0abfb,0xd5,0x55,1
0x0ac37,0x75,0x55,1
0x0ac38,0x15,0x55,1
0x0ac44,0x51,0x55,1
0x0ac71,0x57,0x55,1
0x0ac87,0xd5,0x55,1
0x0ac97,0x57,0x55,1
0x0aca9,0x15,0x55,1
0x0acaa,0x57,0x55,1
0x0acc4,0x54,0x55,1
0x0ad02,0x15,0x55,1
0x0ad60,0x5d,0x55,1
0x0ad71,0x51,0x55,1
0x0ad93,0x15,0x55,1
0x0afa3,0xd5,0x55,1
0x0b014,0xd5,0x55,1
0x0b018,0x54,0x55,1
0x0b0af,0x15,0x55,1
0x0b12d,0x54,0x55,1
0x0b13f,0x45,0x55,1
0x0b149,0x54,0x55,1
0x0b14d,0x54,0x55,1
0x0b188,0x51,0x55,1
0x0b1a9,0x54,0x55,1
0x0b243,0x5d,0x55,1
0x0b26c,0x54,0x55,1
0x0b275,0x5d,0x55,1
0x0b277,0x5d,0x55,1
0x0b29b,0x5d,0x55,1
0x0b336,0xd5,0x55,1
0x0b3b1,0x75,0x55,1
0x0b3ea,0xd5,0x55,1
0x0b3f8,0x51,0x55,1
0x0b405,0x57,0x55,1
0x0b43a,0x5d,0x55,1
0x0b500,0x57,0x55,1
0x0b52a,0x57,0x55,1
0x0b544,0xd5,0x55,1
0x0b545,0x75,0x55,1
0x0b5aa,0xd5,0x55,1
0x0b5af,0xd5,0x55,1
0x0b5eb,0x57,0x55,1
0x0b66b,0x5d,0x55,1
0x0b681,0xd5,0x55,1
0x0b683,0x75,0x55,1
0x0b70e,0xd5,0x55,1
0x0b7cf,0x75,0x55,1
0x0b7df,0xd5,0x55,1
0x0b7eb,0x75,0x55,1
0x0b826,0xd5,0x55,1
0x0b8bb,0x15,0x55,1
0x0b921,0x5d,0x55,1
0x0b93c,0x51,0x55,1
0x0ba9a,0x51,0x55,1
0x0baab,0x51,0x55,1
0x0bb09,0xd5,0x55,1
0x0bb78,0x45,0x55,1
0x0bb8e,0x51,0x55,1
0x0bba2,0x75,0x55,1
0x0bc06,0x75,0x55,1
0x0bc34,0x51,0x55,1
0x0bc77,0x45,0x55,1
0x0bd5d,0x45,0x55,1
0x0bdc4,0x54,0x55,1
0x0bdee,0xd5,0x55,1
0x0be8b,0x45,0x55,1
0x0beac,0x15,0x55,1
0x0bfd4,0x15,0x55,1
0x0c044,0x51,0x55,1
0x0c06f,0xd5,0x55,1
0x0c075,0xd5,0x55,1
0x0c079,0x5d,0x55,1
0x0c0c0,0x75,0x55,1
0x0c0d4,0x45,0x55,1
0x0c0dc,0x45,0x55,1
0x0c108,0x15,0x55,1
0x0c110,0x51,0x55,1
0x0c123,0xd5,0x55,1
0x0c16c,0x15,0x55,1
0x0c182,0x51,0x55,1
0x0c1fe,0x57,0x55,1
0x0c242,0x15,0x55,1
0x0c25f,0x75,0x55,1
0x0c2ac,0x5d,0x55,1
0x0c300,0x51,0x55,1
0x0c36a,0x54,0x55,1
0x0c3a4,0x51,0x55,1
0x0c3d7,0x51,0x55,1
0x0c3fe,0xd5,0x55,1
0x0c427,0x57,0x55,1
0x0c431,0x75,0x55,1
0x0c438,0x54,0x55,1
0x0c4b0,0x54,0x55,1
0x0c4e2,0x15,0x55,1
0x0c595,0xd5,0x55,1
0x0c5ab,0x5d,0x55,1
0x0c5ad,0x57,0x55,1
0x0c63a,0x57,0x55,1
0x0c644,0xd5,0x55,1
0x0c674,0x15,0x55,1
0x0c6ed,0x57,0x55,1
0x0c722,0x5d,0x55,1
0x0c72e,0x45,0x55,1
0x0c768,0x5d,0x55,1
0x0c77a,0x54,0x55,1
0x0c827,0x5d,0x55,1
0x0c828,0x54,0x55,1
0x0c830,0x5d,0x55,1
0x0c89b,0x57,0x55,1
0x0c8f2,0xd5,0x55,1
0x0c93b,0x15,0x55,1
0x0c9bf,0x15,0x55,1
0x0c9c6,0x75,0x55,1
0x0ca1f,0x5d,0x55,1
0x0ca46,0x45,0x55,1
0x0ca5d,0x54,0x55,1
0x0ca5e,0x51,0x55,1
0x0ca89,0x51,0x55,1
0x0ca96,0x5d,0x55,1
0x0caa8,0x54,0x55,1
0x0cb52,0x51,0x55,1
0x0cb85,0x45,0x55,1
0x0cb9e,0x57,0x55,1
0x0cbac,0x75,0x55,1
0x0cbd6,0x57,0x55,1
0x0cbfe,0x5d,0x55,1
0x0cc06,0x15,0x55,1
0x0cc5a,0xd5,0x55,1
0x0cc7e,0x75,0x55,1
0x0cc8c,0x45,0x55,1
0x0cc96,0x45,0x55,1
0x0cd88,0x75,0x55,1
0x0cded,0x15,0x55,1
0x0ce30,0x5d,0x55,1
0x0ce64,0x45,0x55,1
0x0cec8,0xd5,0x55,1
0x0cf05,0x45,0x55,1
0x0cf84,0xd5,0x55,1
0x0cff2,0x75,0x55,1
0x0d000,0x54,0x55,1
0x0d00f,0x75,0x55,1
0x0d02b,0x57,0x55,1
0x0d094,0x15,0x55,1
0x0d09f,0x57,0x55,1
0x0d12d,0x57,0x55,1
0x0d198,0x75,0x55,1
0x0d1ec,0x54,0x55,1
0x0d235,0x51,0x55,1
0x0d25e,0x5d,0x55,1
0x0d28f,0xd5,0x55,1
0x0d2aa,0x51,0x55,1
0x0d2e1,0x75,0x55,1
0x0d33c,0x15,0x55,1
0x0d35c,0x57,0x55,1
0x0d378,0x15,0x55,1
0x0d3d4,0xd5,0x55,1
0x0d3e7,0xd5,0x55,1
0x0d408,0xd5,0x55,1
0x0d41f,0x54,0x55,1
0x0d476,0xd5,0x55,1
0x0d4b3,0x15,0x55,1
0x0d556,0x75,0x55,1
0x0d643,0x54,0x55,1
0x0d659,0x51,0x55,1
0x0d67f,0x75,0x55,1
0x0d740,0x45,0x55,1
0x0d7c4,0x54,0x55,1
0x0d8f5,0x57,0x55,1
0x0d8f9,0x45,0x55,1
0x0d98b,0x5d,0x55,1
0x0d9aa,0xd5,0x55,1
0x0d9b0,0x57,0x55,1
0x0da51,0x50,0x55,1
0x0da9e,0x54,0x55,1
0x0daef,0xd5,0x55,1
0x0dbbe,0x54,0x55,1
0x0dbf1,0x57,0x55,1
0x0dcce,0x15,0x55,1
0x0dccf,0x57,0x55,1
0x0dce1,0x45,0x55,1
0x0dcfe,0x54,0x55,1
0x0dd04,0x75,0x55,1
0x0dd23,0x57,0x55,1
0x0dd35,0x5d,0x55,1
0x0ddcf,0x54,0x55,1
0x0de46,0xd5,0x55,1
0x0de50,0x15,0x55,1
0x0de73,0x45,0x55,1
0x0de9a,0x75,0x55,1
0x0debe,0x5d,0x55,1
0x0dec9,0x54,0x55,1
0x0dedb,0x57,0x55,1
0x0e0ac,0x45,0x55,1
0x0e0c2,0x75,0x55,1
0x0e175,0x45,0x55,1
0x0e239,0x15,0x55,1
0x0e249,0x54,0x55,1
0x0e27b,0x5d,0x55,1
0x0e2ac,0x5d,0x55,1
0x0e2d0,0x45,0x55,1
0x0e330,0x45,0x55,1
0x0e35c,0x51,0x55,1
0x0e3e7,0x45,0x55,1
0x0e412,0x51,0x55,1
0x0e41d,0xd5,0x55,1
0x0e46f,0x57,0x55,1
0x0e4ee,0x57,0x55,1
0x0e4fc,0xd5,0x55,1
0x0e52c,0x51,0x55,1
0x0e5be,0x51,0x55,1
0x0e5c3,0x5d,0x55,1
0x0e648,0x54,0x55,1
0x0e674,0x75,0x55,1
0x0e6b3,0x15,0x55,1
0x0e6bb,0x75,0x55,1
0x0e6bd,0x75,0x55,1
0x0e6bf,0x75,0x55,1
0x0e6c1,0x75,0x55,1
0x0e6de,0xd5,0x55,1
0x0e6f7,0xd5,0x55,1
0x0e75c,0x57,0x55,1
0x0e7a4,0x5d,0x55,1
0x0e7cb,0x57,0x55,1
0x0e7d8,0xd5,0x55,1
0x0e7e7,0x5d,0x55,1
0x0e801,0x54,0x55,1
0x0e846,0x54,0x55,1
0x0e859,0x75,0x55,1
0x0e85c,0x51,0x55,1
0x0e8e5,0x51,0x55,1
0x0e8f7,0x54,0x55,1
0x0e8fe,0x45,0x55,1
0x0e95c,0x45,0x55,1
0x0ea73,0x15,0x55,1
0x0ea7c,0x54,0x55,1
0x0eb05,0x5d,0x55,1
0x0eb9f,0x15,0x55,1
0x0eba2,0x45,0x55,1
0x0eba5,0x45,0x55,1
0x0ebaa,0x57,0x55,1
0x0ec31,0x5d,0x55,1
0x0ec45,0x5d,0x55,1
0x0ec81,0x75,0x55,1
0x0ec95,0x54,0x55,1
0x0ec9a,0x5d,0x55,1
0x0ecac,0x57,0x55,1
0x0ecb7,0x51,0x55,1
0x0ed52,0x5d,0x55,1
0x0ed73,0x45,0x55,1
0x0ed98,0x15,0x55,1
0x0ed99,0x15,0x55,1
0x0ede6,0x51,0x55,1
0x0ee19,0x51,0x55,1
0x0eee8,0x75,0x55,1
0x0eef0,0x54,0x55,1
0x0ef32,0x15,0x55,1
0x0ef6b,0xd5,0x55,1
0x0ef70,0x44,0x55,1
0x0ef95,0x57,0x55,1
0x0ef96,0x15,0x55,1
0x0f018,0x54,0x55,1
0x0f064,0x15,0x55,1
0x0f0c2,0x15,0x55,1
0x0f0fd,0x15,0x55,1
0x0f115,0x5d,0x55,1
0x0f172,0x5d,0x55,1
0x0f202,0x51,0x55,1
0x0f20e,0x5d,0x55,1
0x0f226,0x15,0x55,1
0x0f270,0x5d,0x55,1
0x0f281,0x5d,0x55,1
0x0f2fb,0xd5,0x55,1
0x0f38d,0x54,0x55,1
0x0f395,0x57,0x55,1
0x0f3cf,0x15,0x55,1
0x0f3eb,0x15,0x55,1
0x0f405,0x45,0x55,1
0x0f447,0x54,0x55,1
0x0f459,0x57,0x55,1
